method,version,train_seed,generation_seed,cfg_scale,class_order,class_id,source_index,selection_rule,image_path,image_sha256,summary_path,summary_sha256
DCKD-Global-MS,v4.3,123,0,2.5,5,283,20,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/sample_0020_class_283.png,120d3e12c6105635ccc32a05befb99b401db5d3597afd570c191fa8686be50b9,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/summary.json,854225f1d9b8170402af23475e8e7bbc4a5d5cec1bb8eed2a503aaa17b87e7ac
DCKD-Global-MS,v4.3,123,0,2.5,6,296,24,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/sample_0024_class_296.png,96739a50b7233237a4fc35c31ddfb130d3d41898357e822cc9847c32b9c5d2fe,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/summary.json,854225f1d9b8170402af23475e8e7bbc4a5d5cec1bb8eed2a503aaa17b87e7ac
DCKD-Global-MS,v4.3,123,0,2.5,7,386,28,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/sample_0028_class_386.png,dfe6981dcfae47d9d9a02609c9985903c9b9e85ad303425b1c380bee211ee4b4,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/summary.json,854225f1d9b8170402af23475e8e7bbc4a5d5cec1bb8eed2a503aaa17b87e7ac
DCKD-Global-MS,v4.3,123,0,2.5,8,483,32,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/sample_0032_class_483.png,a795397f58c10caa56c190d9f37fc0b06cc855209f61268407837c5d573b4fb9,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/summary.json,854225f1d9b8170402af23475e8e7bbc4a5d5cec1bb8eed2a503aaa17b87e7ac
DCKD-Global-MS,v4.3,123,0,2.5,9,562,36,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/sample_0036_class_562.png,a6d1436709cbbbebce3a3c34601372b9b13ac9379be6edd0c001c474954b9adb,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/summary.json,854225f1d9b8170402af23475e8e7bbc4a5d5cec1bb8eed2a503aaa17b87e7ac
DCKD-Global-MS,v4.3,123,0,2.5,10,604,40,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/sample_0040_class_604.png,303440be6b2291bef801e04756c57632940afa3084d3a62d0fad01ca100ea3f0,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/summary.json,854225f1d9b8170402af23475e8e7bbc4a5d5cec1bb8eed2a503aaa17b87e7ac
DCKD-Global-MS,v4.3,123,0,2.5,11,698,44,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/sample_0044_class_698.png,3ad158a6edd9d8387e945ac1300211605bcced594783c051110824ac858750ff,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/summary.json,854225f1d9b8170402af23475e8e7bbc4a5d5cec1bb8eed2a503aaa17b87e7ac
DCKD-Global-MS,v4.3,123,0,2.5,12,717,48,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/sample_0048_class_717.png,63e63b2a37859dc9f84b1465a893b64b803838bf652a35351c12573ab9026834,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/summary.json,854225f1d9b8170402af23475e8e7bbc4a5d5cec1bb8eed2a503aaa17b87e7ac
DCKD-Global-MS,v4.3,123,0,2.5,13,805,52,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/sample_0052_class_805.png,eb6c7451111ea8df8fe6015eddf140605f09accd0d3441f051f7eb6125418cb3,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/summary.json,854225f1d9b8170402af23475e8e7bbc4a5d5cec1bb8eed2a503aaa17b87e7ac
DCKD-Global-MS,v4.3,123,0,2.5,14,908,56,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/sample_0056_class_908.png,d6261a33c16d5ba8836566278a300a2b56441f581426b6d7f1a58c9a8f01c73c,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/summary.json,854225f1d9b8170402af23475e8e7bbc4a5d5cec1bb8eed2a503aaa17b87e7ac
DCKD-Global-MS,v4.3,123,0,2.5,15,985,60,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/sample_0060_class_985.png,b42f5f843a1131d713ef4168d568c56ff0245141bba115203cc4bba40a92d194,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/summary.json,854225f1d9b8170402af23475e8e7bbc4a5d5cec1bb8eed2a503aaa17b87e7ac
DCKD-Smooth-R8,v5.1,123,0,2.0,0,22,0,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/sample_0000_class_022.png,23be4839e8a1118c43b7d50d5a1bf1e5c10aae5cfad9240a63a6db8e7546d28f,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/summary.json,cf5b8be979b508ef7aafccb62b0ea4c2203c525e51ce60e1ac29fdddc0170e4b
DCKD-Smooth-R8,v5.1,123,0,2.0,1,88,4,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/sample_0004_class_088.png,b2a0eba5e829e335a38ca98ae17e67c28d9f70be1c3beec996ae8a39becb066e,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/summary.json,cf5b8be979b508ef7aafccb62b0ea4c2203c525e51ce60e1ac29fdddc0170e4b
DCKD-Smooth-R8,v5.1,123,0,2.0,2,95,8,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/sample_0008_class_095.png,b3e877ed9dae740ed590537ff7371ea7ecda6517c9d6b8f964cda9c9f3239a95,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/summary.json,cf5b8be979b508ef7aafccb62b0ea4c2203c525e51ce60e1ac29fdddc0170e4b
DCKD-Smooth-R8,v5.1,123,0,2.0,3,108,12,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/sample_0012_class_108.png,c0b285c103f34e4616377e4f06ed61321653d6fe6a3f1505aba76dc0f7452024,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/summary.json,cf5b8be979b508ef7aafccb62b0ea4c2203c525e51ce60e1ac29fdddc0170e4b
DCKD-Smooth-R8,v5.1,123,0,2.0,4,207,16,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/sample_0016_class_207.png,51f6d6e59106001b4e8d9ed8ba9967008a1123f04b48bb3adf18c52cda589028,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/summary.json,cf5b8be979b508ef7aafccb62b0ea4c2203c525e51ce60e1ac29fdddc0170e4b
DCKD-Smooth-R8,v5.1,123,0,2.0,5,283,20,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/sample_0020_class_283.png,97c619b5ec06cdd79e6532b02541a46169470330aa0a257244477f9f38d44440,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/summary.json,cf5b8be979b508ef7aafccb62b0ea4c2203c525e51ce60e1ac29fdddc0170e4b
DCKD-Smooth-R8,v5.1,123,0,2.0,6,296,24,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/sample_0024_class_296.png,497729f2098057a1968f93f59e65887841884625301a68ce54a5841b5e21ff5d,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/summary.json,cf5b8be979b508ef7aafccb62b0ea4c2203c525e51ce60e1ac29fdddc0170e4b
DCKD-Smooth-R8,v5.1,123,0,2.0,7,386,28,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/sample_0028_class_386.png,72e0e3d924c48cd3c61efec30e4569764f21c7a63f1abb383a2d780da529dd13,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/summary.json,cf5b8be979b508ef7aafccb62b0ea4c2203c525e51ce60e1ac29fdddc0170e4b
DCKD-Smooth-R8,v5.1,123,0,2.0,8,483,32,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/sample_0032_class_483.png,d9b1c0735dcd7b18acf716861ec6133ac293bff31a10c95072fbeeb09971cb10,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/summary.json,cf5b8be979b508ef7aafccb62b0ea4c2203c525e51ce60e1ac29fdddc0170e4b
DCKD-Smooth-R8,v5.1,123,0,2.0,9,562,36,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/sample_0036_class_562.png,7dc0a437e622ad5f6dccdfc4374be76f781b0c2a4c338accdfb0dfce607f07b3,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/summary.json,cf5b8be979b508ef7aafccb62b0ea4c2203c525e51ce60e1ac29fdddc0170e4b
DCKD-Smooth-R8,v5.1,123,0,2.0,10,604,40,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/sample_0040_class_604.png,350f59627b8a7c7ec6b0f483c882e646cb8fa22ef467c01bd99112da750fc012,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/summary.json,cf5b8be979b508ef7aafccb62b0ea4c2203c525e51ce60e1ac29fdddc0170e4b
DCKD-Smooth-R8,v5.1,123,0,2.0,11,698,44,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/sample_0044_class_698.png,d9a0d494d349746161adbb9b79936c2760007d1f61e0294d7d2f41c2f196f5ab,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/summary.json,cf5b8be979b508ef7aafccb62b0ea4c2203c525e51ce60e1ac29fdddc0170e4b
DCKD-Smooth-R8,v5.1,123,0,2.0,12,717,48,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/sample_0048_class_717.png,75ce9694165772885a213548be7f6b3b7e33e4bdda369daeed6d5c78301aed81,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/summary.json,cf5b8be979b508ef7aafccb62b0ea4c2203c525e51ce60e1ac29fdddc0170e4b
DCKD-Smooth-R8,v5.1,123,0,2.0,13,805,52,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/sample_0052_class_805.png,9ec18a4c333e3cf79e3de91686e7eb996332b3b47745c644531a21cbb4f3b3ba,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/summary.json,cf5b8be979b508ef7aafccb62b0ea4c2203c525e51ce60e1ac29fdddc0170e4b
DCKD-Smooth-R8,v5.1,123,0,2.0,14,908,56,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/sample_0056_class_908.png,870d74117e99f2ed81df4ddc1dded8bfb1df007020bdc55c4023d4b5c7903ced,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/summary.json,cf5b8be979b508ef7aafccb62b0ea4c2203c525e51ce60e1ac29fdddc0170e4b
DCKD-Smooth-R8,v5.1,123,0,2.0,15,985,60,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/sample_0060_class_985.png,06f6955ec32190b0c647a35ad3050ac5e5b58326ae8f386e88c9c25ac1821b76,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v51_seed123/summary.json,cf5b8be979b508ef7aafccb62b0ea4c2203c525e51ce60e1ac29fdddc0170e4b
